,roles,companies,locations,skills,experience
0,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting",6-10 Yrs
1,Senior Data Scientist,eClerx Services Ltd.,"Pune, Mumbai (All Areas)","Artificial Intelligence
Machine Learning
Python
Predictive Modeling
Text Analytics
Natural Language Processing
Hypothesis Testing
Database Design",6-10 Yrs
2,Senior Data Scientist | CES IT LTD | CMMI Level 5,CES Ltd.,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Analytical
Keras
Object Detection
tensorflow
PyTorch
OpenCV
algorithm
Python",6-10 Yrs
3,Data Scientist/Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling
Manufacturing Analytics
Python
Data Science
R
Data Quality
Algorithms
VBA",6-10 Yrs
4,Senior Data Scientist,Flipkart Internet Private Limited,California,"Pytorch
Tensorflow
Data Science
NLP
Artificial Intelligence
Keras
Computer Vision
Deep Learning",6-10 Yrs
5,Data Scientist,CronJ IT Technologies Private Limited,Bangalore/Bengaluru,"IT Skills
Python
Data Science
AWS
Tensorflow
Java
C++
C",6-10 Yrs
6,Staff Data Scientist,Walmart Global Tech India,Other,NA,6-10 Yrs
7,Hiring For Lead/Senior Data Scientist - Morningstar (Product Based),Morningstar,Mumbai (All Areas),"IT Skills
Python
Testing
Cloud
Oracle
AWS
Azure
Data Science",6-10 Yrs
8,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio",6-10 Yrs
9,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"GIS
Product management
Computer science
Postgresql
TIBCO
SDK
Analytics
Financial services",6-10 Yrs
10,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Analytical
OLAP
Scrum
OLTP
Financial services
SQL",6-10 Yrs
11,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Product quality
Google Analytics
Agile
Scrum
data privacy
SEO",6-10 Yrs
12,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Solution design
Agile scrum
Lead
Manager Technology
Subject matter expertise
Management",6-10 Yrs
13,"Sr. Data Scientist I, SIP",Invesco,Hyderabad/Secunderabad,"Exploratory Data Analysis
Artificial Intelligence
Natural Language Processing
Sentiment Analysis
Machine Learning
Deep Learning
Data Science
Decision Forests",6-10 Yrs
14,GAMMA Lead Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Data analysis
Operations research
data science
Data management
Business analytics
Consulting
Management consulting
Business strategy",6-10 Yrs
15,Data Scientist - Machine Learning,AugmatrixGo,Bangalore/Bengaluru,"Hive
R
Cloud Computing
Data Scientist
Computer Vision
Machine Learning
Deep Learning
SQL",6-10 Yrs
16,Urgent opening For Senior Data Scientists,Abzooba India Infotech Private Limited,Pune,"IT Skills
Python
Machine Learning
Artificial Intelligence
Big Data
Pyspark
Time Series Analysis
Natural Language Processing",6-10 Yrs
17,Associate Data Scientist - CRM & Loyalty,Shell India Markets Private Limited,Bangalore/Bengaluru,"Direct Marketing
Multivariate Analysis
R
Data Scientist
Factor Analysis
Customer Analytics
Time Series
Market Basket Analysis",6-10 Yrs
18,Data Scientist - Business Analytics,Philips India Limited,Bangalore/Bengaluru,"Process automation
Cloud computing
Change management
Operational excellence
Business analytics
Analytical
Consulting
Data mining",6-10 Yrs
19,Data Scientist,Schneider Electric India Pvt. Ltd.,Bangalore/Bengaluru,"Computer science
Data analysis
Automation
Manager Quality Assurance
Artificial Intelligence
Analytical
MySQL
Machine learning",6-10 Yrs
20,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting",6-10 Yrs
21,Senior Data Scientist,eClerx Services Ltd.,"Pune, Mumbai (All Areas)","Artificial Intelligence
Machine Learning
Python
Predictive Modeling
Text Analytics
Natural Language Processing
Hypothesis Testing
Database Design",6-10 Yrs
22,Senior Data Scientist | CES IT LTD | CMMI Level 5,CES Ltd.,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Analytical
Keras
Object Detection
tensorflow
PyTorch
OpenCV
algorithm
Python",6-10 Yrs
23,Data Scientist/Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling
Manufacturing Analytics
Python
Data Science
R
Data Quality
Algorithms
VBA",6-10 Yrs
24,Senior Data Scientist,Flipkart Internet Private Limited,California,"Pytorch
Tensorflow
Data Science
NLP
Artificial Intelligence
Keras
Computer Vision
Deep Learning",6-10 Yrs
25,Data Scientist,CronJ IT Technologies Private Limited,Bangalore/Bengaluru,"IT Skills
Python
Data Science
AWS
Tensorflow
Java
C++
C",6-10 Yrs
26,Staff Data Scientist,Walmart Global Tech India,Other,NA,6-10 Yrs
27,Hiring For Lead/Senior Data Scientist - Morningstar (Product Based),Morningstar,Mumbai (All Areas),"IT Skills
Python
Testing
Cloud
Oracle
AWS
Azure
Data Science",6-10 Yrs
28,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio",6-10 Yrs
29,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"GIS
Product management
Computer science
Postgresql
TIBCO
SDK
Analytics
Financial services",6-10 Yrs
30,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Analytical
OLAP
Scrum
OLTP
Financial services
SQL",6-10 Yrs
31,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Product quality
Google Analytics
Agile
Scrum
data privacy
SEO",6-10 Yrs
32,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Solution design
Agile scrum
Lead
Manager Technology
Subject matter expertise
Management",6-10 Yrs
33,"Sr. Data Scientist I, SIP",Invesco,Hyderabad/Secunderabad,"Exploratory Data Analysis
Artificial Intelligence
Natural Language Processing
Sentiment Analysis
Machine Learning
Deep Learning
Data Science
Decision Forests",6-10 Yrs
34,GAMMA Lead Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Data analysis
Operations research
data science
Data management
Business analytics
Consulting
Management consulting
Business strategy",6-10 Yrs
35,Data Scientist - Machine Learning,AugmatrixGo,Bangalore/Bengaluru,"Hive
R
Cloud Computing
Data Scientist
Computer Vision
Machine Learning
Deep Learning
SQL",6-10 Yrs
36,Urgent opening For Senior Data Scientists,Abzooba India Infotech Private Limited,Pune,"IT Skills
Python
Machine Learning
Artificial Intelligence
Big Data
Pyspark
Time Series Analysis
Natural Language Processing",6-10 Yrs
37,Associate Data Scientist - CRM & Loyalty,Shell India Markets Private Limited,Bangalore/Bengaluru,"Direct Marketing
Multivariate Analysis
R
Data Scientist
Factor Analysis
Customer Analytics
Time Series
Market Basket Analysis",6-10 Yrs
38,Data Scientist - Business Analytics,Philips India Limited,Bangalore/Bengaluru,"Process automation
Cloud computing
Change management
Operational excellence
Business analytics
Analytical
Consulting
Data mining",6-10 Yrs
39,Data Scientist,Schneider Electric India Pvt. Ltd.,Bangalore/Bengaluru,"Computer science
Data analysis
Automation
Manager Quality Assurance
Artificial Intelligence
Analytical
MySQL
Machine learning",6-10 Yrs
40,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting",6-10 Yrs
41,Senior Data Scientist,eClerx Services Ltd.,"Pune, Mumbai (All Areas)","Artificial Intelligence
Machine Learning
Python
Predictive Modeling
Text Analytics
Natural Language Processing
Hypothesis Testing
Database Design",6-10 Yrs
42,Senior Data Scientist | CES IT LTD | CMMI Level 5,CES Ltd.,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Analytical
Keras
Object Detection
tensorflow
PyTorch
OpenCV
algorithm
Python",6-10 Yrs
43,Data Scientist/Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling
Manufacturing Analytics
Python
Data Science
R
Data Quality
Algorithms
VBA",6-10 Yrs
44,Senior Data Scientist,Flipkart Internet Private Limited,California,"Pytorch
Tensorflow
Data Science
NLP
Artificial Intelligence
Keras
Computer Vision
Deep Learning",6-10 Yrs
45,Data Scientist,CronJ IT Technologies Private Limited,Bangalore/Bengaluru,"IT Skills
Python
Data Science
AWS
Tensorflow
Java
C++
C",6-10 Yrs
46,Staff Data Scientist,Walmart Global Tech India,Other,NA,6-10 Yrs
47,Hiring For Lead/Senior Data Scientist - Morningstar (Product Based),Morningstar,Mumbai (All Areas),"IT Skills
Python
Testing
Cloud
Oracle
AWS
Azure
Data Science",6-10 Yrs
48,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio",6-10 Yrs
49,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"GIS
Product management
Computer science
Postgresql
TIBCO
SDK
Analytics
Financial services",6-10 Yrs
50,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Analytical
OLAP
Scrum
OLTP
Financial services
SQL",6-10 Yrs
51,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Product quality
Google Analytics
Agile
Scrum
data privacy
SEO",6-10 Yrs
52,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Solution design
Agile scrum
Lead
Manager Technology
Subject matter expertise
Management",6-10 Yrs
53,"Sr. Data Scientist I, SIP",Invesco,Hyderabad/Secunderabad,"Exploratory Data Analysis
Artificial Intelligence
Natural Language Processing
Sentiment Analysis
Machine Learning
Deep Learning
Data Science
Decision Forests",6-10 Yrs
54,GAMMA Lead Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Data analysis
Operations research
data science
Data management
Business analytics
Consulting
Management consulting
Business strategy",6-10 Yrs
55,Data Scientist - Machine Learning,AugmatrixGo,Bangalore/Bengaluru,"Hive
R
Cloud Computing
Data Scientist
Computer Vision
Machine Learning
Deep Learning
SQL",6-10 Yrs
56,Urgent opening For Senior Data Scientists,Abzooba India Infotech Private Limited,Pune,"IT Skills
Python
Machine Learning
Artificial Intelligence
Big Data
Pyspark
Time Series Analysis
Natural Language Processing",6-10 Yrs
57,Associate Data Scientist - CRM & Loyalty,Shell India Markets Private Limited,Bangalore/Bengaluru,"Direct Marketing
Multivariate Analysis
R
Data Scientist
Factor Analysis
Customer Analytics
Time Series
Market Basket Analysis",6-10 Yrs
58,Data Scientist - Business Analytics,Philips India Limited,Bangalore/Bengaluru,"Process automation
Cloud computing
Change management
Operational excellence
Business analytics
Analytical
Consulting
Data mining",6-10 Yrs
59,Data Scientist,Schneider Electric India Pvt. Ltd.,Bangalore/Bengaluru,"Computer science
Data analysis
Automation
Manager Quality Assurance
Artificial Intelligence
Analytical
MySQL
Machine learning",6-10 Yrs
60,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting",6-10 Yrs
61,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Analytical
OLAP
Scrum
OLTP
Financial services
SQL",6-10 Yrs
62,Senior Data Scientist,eClerx Services Ltd.,"Pune, Mumbai (All Areas)","Artificial Intelligence
Machine Learning
Python
Predictive Modeling
Text Analytics
Natural Language Processing
Hypothesis Testing
Database Design",6-10 Yrs
63,Senior Data Scientist | CES IT LTD | CMMI Level 5,CES Ltd.,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Analytical
Keras
Object Detection
tensorflow
PyTorch
OpenCV
algorithm
Python",6-10 Yrs
64,Data Scientist/Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling
Manufacturing Analytics
Python
Data Science
R
Data Quality
Algorithms
VBA",6-10 Yrs
65,Data Scientist,CronJ IT Technologies Private Limited,Bangalore/Bengaluru,"IT Skills
Python
Data Science
AWS
Tensorflow
Java
C++
C",6-10 Yrs
66,Staff Data Scientist,Walmart Global Tech India,Other,NA,6-10 Yrs
67,Hiring For Lead/Senior Data Scientist - Morningstar (Product Based),Morningstar,Mumbai (All Areas),"IT Skills
Python
Testing
Cloud
Oracle
AWS
Azure
Data Science",6-10 Yrs
68,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio",6-10 Yrs
69,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"GIS
Product management
Computer science
Postgresql
TIBCO
SDK
Analytics
Financial services",6-10 Yrs
70,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Product quality
Google Analytics
Agile
Scrum
data privacy
SEO",6-10 Yrs
71,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Solution design
Agile scrum
Lead
Manager Technology
Subject matter expertise
Management",6-10 Yrs
72,"Sr. Data Scientist I, SIP",Invesco,Hyderabad/Secunderabad,"Exploratory Data Analysis
Artificial Intelligence
Natural Language Processing
Sentiment Analysis
Machine Learning
Deep Learning
Data Science
Decision Forests",6-10 Yrs
73,GAMMA Lead Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Data analysis
Operations research
data science
Data management
Business analytics
Consulting
Management consulting
Business strategy",6-10 Yrs
74,Data Scientist - Machine Learning,AugmatrixGo,Bangalore/Bengaluru,"Hive
R
Cloud Computing
Data Scientist
Computer Vision
Machine Learning
Deep Learning
SQL",6-10 Yrs
75,Senior Data Scientist,Flipkart Internet Private Limited,California,"Pytorch
Tensorflow
Data Science
NLP
Artificial Intelligence
Keras
Computer Vision
Deep Learning",6-10 Yrs
76,Urgent opening For Senior Data Scientists,Abzooba India Infotech Private Limited,Pune,"IT Skills
Python
Machine Learning
Artificial Intelligence
Big Data
Pyspark
Time Series Analysis
Natural Language Processing",6-10 Yrs
77,Associate Data Scientist - CRM & Loyalty,Shell India Markets Private Limited,Bangalore/Bengaluru,"Direct Marketing
Multivariate Analysis
R
Data Scientist
Factor Analysis
Customer Analytics
Time Series
Market Basket Analysis",6-10 Yrs
78,Data Scientist - Business Analytics,Philips India Limited,Bangalore/Bengaluru,"Process automation
Cloud computing
Change management
Operational excellence
Business analytics
Analytical
Consulting
Data mining",6-10 Yrs
79,ManagerClinical Data Scientist,PFIZER LIMITED,Chennai,"Biometrics
Data management
Query management
Research
Monitoring
clinical data",6-10 Yrs
80,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting",6-10 Yrs
81,Senior Data Scientist,eClerx Services Ltd.,"Pune, Mumbai (All Areas)","Artificial Intelligence
Machine Learning
Python
Predictive Modeling
Text Analytics
Natural Language Processing
Hypothesis Testing
Database Design",6-10 Yrs
82,Senior Data Scientist | CES IT LTD | CMMI Level 5,CES Ltd.,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Analytical
Keras
Object Detection
tensorflow
PyTorch
OpenCV
algorithm
Python",6-10 Yrs
83,Data Scientist/Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling
Manufacturing Analytics
Python
Data Science
R
Data Quality
Algorithms
VBA",6-10 Yrs
84,Senior Data Scientist,Flipkart Internet Private Limited,California,"Pytorch
Tensorflow
Data Science
NLP
Artificial Intelligence
Keras
Computer Vision
Deep Learning",6-10 Yrs
85,Data Scientist,CronJ IT Technologies Private Limited,Bangalore/Bengaluru,"IT Skills
Python
Data Science
AWS
Tensorflow
Java
C++
C",6-10 Yrs
86,Staff Data Scientist,Walmart Global Tech India,Other,NA,6-10 Yrs
87,Hiring For Lead/Senior Data Scientist - Morningstar (Product Based),Morningstar,Mumbai (All Areas),"IT Skills
Python
Testing
Cloud
Oracle
AWS
Azure
Data Science",6-10 Yrs
88,Senior Data Scientist - BFSI,Viaprom Technologies Pvt Ltd,Mumbai,"Data Science
SAS Macros
SAS EG
R
SAS Sql
SAS
Data Scientist
SAS DI Studio",6-10 Yrs
89,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"GIS
Product management
Computer science
Postgresql
TIBCO
SDK
Analytics
Financial services",6-10 Yrs
90,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Analytical
OLAP
Scrum
OLTP
Financial services
SQL",6-10 Yrs
91,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Product quality
Google Analytics
Agile
Scrum
data privacy
SEO",6-10 Yrs
92,Lead Data Scientist/Senior Lead Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Solution design
Agile scrum
Lead
Manager Technology
Subject matter expertise
Management",6-10 Yrs
93,"Sr. Data Scientist I, SIP",Invesco,Hyderabad/Secunderabad,"Exploratory Data Analysis
Artificial Intelligence
Natural Language Processing
Sentiment Analysis
Machine Learning
Deep Learning
Data Science
Decision Forests",6-10 Yrs
94,GAMMA Lead Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Data analysis
Operations research
data science
Data management
Business analytics
Consulting
Management consulting
Business strategy",6-10 Yrs
95,Data Scientist - Machine Learning,AugmatrixGo,Bangalore/Bengaluru,"Hive
R
Cloud Computing
Data Scientist
Computer Vision
Machine Learning
Deep Learning
SQL",6-10 Yrs
